Airport Name,City,Country,3 Char Code,Identifier,Lat,Long,rand1,rand2,rand3
Juan H White Airport,Caucasia,Colombia,CAQ,SKCU,7.96847,-75.1985,174,-5,U
Mandinga Airport,Condoto,Colombia,COG,SKCD,5.08333,-76.7,213,-5,U
Golfo de Morrosquillo Airport,Tolu,Colombia,TLU,SKTL,9.50945,-75.5854,16,-5,U
Cabo Frio Airport,Cabo Frio,Brazil,CFB,SBCB,-22.92169952,-42.07429886,23,-3,S
Westport Amtrak Station,Westport,United States,\N,\N,44.1871,-73.4519,1,-5,A
Trenton Amtrak Station,Trenton,United States,\N,\N,40.21889,-74.75417,1,-5,A
Presidente João Batista Figueiredo Airport,Sinop,Brazil,OPS,SWSI,-11.88500023,-55.58610916,1227,-4,S
Gurupi Airport,Gurupi,Brazil,GRP,SWGI,-11.73960018,-49.13219833,1148,-3,S
Santana do Araguaia Airport,Santana do Araguaia,Brazil,CMP,SNKE,-9.319970131,-50.32849884,597,-3,S
Breves Airport,Breves,Brazil,BVS,SNVS,-1.636530042,-50.4435997,98,-3,S
Soure Airport,Soure,Brazil,SFK,SNSW,-0.699431002,-48.52099991,43,-3,S
Parintins Airport,Parintins,Brazil,PIN,SWPI,-2.673019886,-56.77719879,87,-4,S
Barreiras Airport,Barreiras,Brazil,BRA,SNBR,-12.07890034,-45.00899887,2447,-3,S
Santa Terezinha Airport,Santa Terezinha,Brazil,STZ,SWST,-10.46472168,-50.51861191,663,-4,S
Minaçu Airport,Minacu,Brazil,MQH,SBMC,-13.5491,-48.195301,1401,-3,S
Araguaína Airport,Araguaina,Brazil,AUX,SWGN,-7.22787,-48.240501,771,-3,S
Novo Aripuanã Airport,Novo Aripuana,Brazil,NVP,SWNA,-5.118030071,-60.36489868,118,-4,S
Fazenda Colen Airport,Lucas do Rio Verde,Brazil,LVR,SWFE,-13.31444359,-56.11277771,1345,-4,S
Franca Airport,Franca,Brazil,FRC,SIMK,-20.59219933,-47.38290024,3292,-3,S
Dourados Airport,Dourados,Brazil,DOU,SSDO,-22.2019,-54.926601,1503,-4,S
Lábrea Airport,Labrea,Brazil,LBR,SWLB,-7.278969765,-64.76950073,190,-4,S
Maestro Marinho Franco Airport,Rondonopolis,Brazil,ROO,SWRD,-16.586,-54.7248,1467,-4,S
Tancredo Thomas de Faria Airport,Guarapuava,Brazil,GPB,SBGU,-25.38750076,-51.52019882,3494,-3,S
Santa Terezinha Airport,Joacaba,Brazil,JCB,SSJA,-27.17140007,-51.55329895,2546,-3,S
North Philadelphia Amtrak Station,Philadelphia,United States,\N,\N,39.9969556,-75.1487722,1,-5,A
Aberdeen Railway Station,Aberdeen,United Kingdom,\N,\N,57.1436,-2.0985,1,0,U
Glasgow Railway Station,Glasgow,United Kingdom,\N,\N,55.8622,-4.2512,0,0,U
Edinburgh Waverly Station,Edinburgh,United Kingdom,ZXE,\N,55.952,-3.189,0,0,U
Newcastle Railway Station,Newcastle Upon Tyne,United Kingdom,\N,\N,54.9686,-1.6171,0,0,U
Leeds Railway Station,Leeds,United Kingdom,\N,\N,53.794,-1.547,0,0,U
Manchester Picadilly Station,Manchester,United Kingdom,\N,\N,53.477,-2.23,0,0,U
Liverpool Railway Station,Liverpool,United Kingdom,\N,\N,53.405,-2.979,0,0,U
London Euston Railway Station,London,United Kingdom,\N,\N,51.5284,-0.1331,0,0,U
General Leite de Castro Airport,Rio Verde,Brazil,RVD,SWLC,-17.83472252,-50.95611191,2464,-3,S
Romeu Zema Airport,Araxa,Brazil,AAX,SBAX,-19.5632,-46.96039963,3276,-3,S
Maués Airport,Maues,Brazil,MBZ,SWMW,-3.37217,-57.7248,69,-4,S
Borba Airport,Borba,Brazil,RBB,SWBR,-4.406340122,-59.60240173,293,-4,S
Coari Airport,Coari,Brazil,CIZ,SWKO,-4.134059906,-63.13259888,131,-4,S
Barcelos Airport,Barcelos,Brazil,BAZ,SWBC,-0.981292,-62.919601,112,-4,S
Herbert Glacier,Juneau,United States,\N,\N,58.571385,-134.607754,0,-9,A
Seattle Cruise Terminal,Seattle,United States,\N,\N,47.615884,-122.330017,0,-8,A
Juneau Cruise Pier,Juneau,United States,\N,\N,58.335451,-134.414978,0,-9,A
Skagway Cruise Pier,Skagway,United States,\N,\N,59.470896,-135.31723,0,-9,A
Ketchikan Cruise Pier,Ketchikan ,United States,\N,\N,55.346327,-131.644707,0,-9,A
Victoria Cruise Pier,Victoria,Canada,\N,\N,48.429144,-123.367023,0,-8,A
Diamantino Airport,Diamantino,Brazil,DMT,SWDM,-14.37689972,-56.40039825,1476,-4,S
